ano,sigla_uf,rede,taxa_alfabetizacao,meta_alfabetizacao_2024,meta_alfabetizacao_2025,meta_alfabetizacao_2026,meta_alfabetizacao_2027,meta_alfabetizacao_2028,meta_alfabetizacao_2029,meta_alfabetizacao_2030,percentual_participacao
2024,RR,Pública,,,,,,,,,
2023,RR,Pública,,,,,,,,,
2023,AC,Pública,,,56.9,62.2,67.3,72,76.2,80,
2024,AC,Pública,51.38,,56.9,62.2,67.3,72,76.2,80,80.87
2023,DF,Pública,,,63.1,67,70.6,74,77.1,80,
2024,DF,Pública,59.13,,63.1,67,70.6,74,77.1,80,79.83
2023,SE,Pública,31.3,38.3,45.9,53.6,61.2,68.3,74.6,80,88.34
2024,SE,Pública,38.39,38.3,45.9,53.6,61.2,68.3,74.6,80,92.84
2024,BA,Pública,35.96,43.4,50.2,57.1,63.6,69.8,75.2,80,90.04
2023,BA,Pública,36.8,43.4,50.2,57.1,63.6,69.8,75.2,80,84.53
2024,RN,Pública,39.29,43.8,50.6,57.3,63.8,69.9,75.3,80,77.72
2023,RN,Pública,37.24,43.8,50.6,57.3,63.8,69.9,75.3,80,78.55
2024,AP,Pública,46.62,47.6,53.8,59.9,65.6,70.9,75.8,80,89.14
2023,AP,Pública,41.56,47.6,53.8,59.9,65.6,70.9,75.8,80,89.68
2023,TO,Pública,43.72,49.5,55.4,61.1,66.5,71.5,76,80,83.91
2024,TO,Pública,50.07,49.5,55.4,61.1,66.5,71.5,76,80,85.15
2023,AL,Pública,43.88,49.7,55.5,61.1,66.5,71.5,76,80,92.36
2024,AL,Pública,48.63,49.7,55.5,61.1,66.5,71.5,76,80,93.78
2023,MS,Pública,47.45,52.8,58,63.1,67.9,72.3,76.4,80,87.95
2024,MS,Pública,55.87,52.8,58,63.1,67.9,72.3,76.4,80,90.04
2024,PA,Pública,48.2,53.6,58.7,63.6,68.2,72.5,76.5,80,83.21
2023,PA,Pública,48.4,53.6,58.7,63.6,68.2,72.5,76.5,80,80.55
2024,PB,Pública,55.96,55.9,60.5,65,69.2,73.2,76.8,80,88.29
2023,PB,Pública,51.12,55.9,60.5,65,69.2,73.2,76.8,80,88.22
2023,SP,Pública,51.91,56.6,61.1,65.4,69.5,73.3,76.8,80,88.75
2024,SP,Pública,58.13,56.6,61.1,65.4,69.5,73.3,76.8,80,89.12
2024,RJ,Pública,55.25,56.7,61.2,65.5,69.6,73.4,76.9,80,83.12
2023,RJ,Pública,52.13,56.7,61.2,65.5,69.6,73.4,76.9,80,81.21
2023,AM,Pública,52.2,56.8,61.3,65.6,69.6,73.4,76.9,80,76.14
2024,AM,Pública,49.17,56.8,61.3,65.6,69.6,73.4,76.9,80,79.49
2023,PI,Pública,52.48,57,61.5,65.7,69.7,73.5,76.9,80,93.37
2024,PI,Pública,59.82,57,61.5,65.7,69.7,73.5,76.9,80,95.09
2024,MT,Pública,60.59,59.2,63.2,67,70.7,74,77.2,80,88.46
2023,MT,Pública,55.06,59.2,63.2,67,70.7,74,77.2,80,87.47
2023,MA,Pública,56.43,60.3,64.1,67.7,71.2,74.3,77.3,80,89.11
2024,MA,Pública,59.64,60.3,64.1,67.7,71.2,74.3,77.3,80,90.89
2023,PE,Pública,59,62.4,65.8,69,72.1,74.9,77.6,80,91.93
2024,PE,Pública,60.79,62.4,65.8,69,72.1,74.9,77.6,80,94.75
2023,MG,Pública,59.81,63.2,66.4,69.5,72.4,75.1,77.6,80,89.59
2024,MG,Pública,72.07,63.2,66.4,69.5,72.4,75.1,77.6,80,88.85
2023,SC,Pública,61.38,64.5,67.4,70.2,72.9,75.4,77.8,80,78.6
2024,SC,Pública,62.02,64.5,67.4,70.2,72.9,75.4,77.8,80,70.05
2024,RS,Pública,44.67,66.2,68.8,71.3,73.7,75.9,78,80,82.86
2023,RS,Pública,63.4,66.2,68.8,71.3,73.7,75.9,78,80,81.44
2023,RO,Pública,64.6,67.1,69.5,71.9,74.1,76.2,78.1,80,88.1
2024,RO,Pública,62.62,67.1,69.5,71.9,74.1,76.2,78.1,80,88.33
2024,GO,Pública,72.74,68.9,71,73,74.9,76.7,78.4,80,92.08
2023,GO,Pública,66.7,68.9,71,73,74.9,76.7,78.4,80,87.03
2023,ES,Pública,67.93,69.9,71.8,73.6,75.3,76.9,78.5,80,88.4
2024,ES,Pública,71.69,69.9,71.8,73.6,75.3,76.9,78.5,80,89.94
2023,PR,Pública,73.12,74.2,75.2,76.2,77.2,78.2,79.1,80,86.18
2024,PR,Pública,70.42,74.2,75.2,76.2,77.2,78.2,79.1,80,86.25
2024,CE,Pública,85.31,80,80,80,80,80,80,80,98.13
2023,CE,Pública,84.5,80,80,80,80,80,80,80,95.22
